COD_EST,FECHA,T_MAX,T_MED,T_MIN,H_R_MAX,H_R_MED,H_R_MIN,RADIACION,LLUVIA,LLUVIA_MIN,V_MAX,V_MED,V_MIN,CV1,CV2,CV3,CV4,DIRECCION,HORAS,H_T,H_HR,H_R,H_LL,H_TS,H_V,H_D,CALCULOS,MTMEN0,MTMEN7,MTMA30,MVMA50,T_S_MED,T_S_MAX,T_S_MIN
AL001,2008-01-01T00:00:00,14.55,8.676207,2.192,93.6,80.34167,57.6,8.90685,0.1,1,22.2,3.385291,0,622,57,479,282,1,24,24,24,24,24,0,24,24,1,0,612,0,0,,,
AL001,2008-01-02T00:00:00,15.75,9.789584,4.45,92.6,85.22082,67.2,4.749228,0,0,42.1,5.458126,0,522,112,573,233,3,24,24,24,24,24,0,24,24,1,0,558,0,0,,,
AL001,2008-01-03T00:00:00,14.01,10.87042,6.59,92.7,85.58332,71.7,2.50452,2.9,29,48,6.957542,0,288,56,703,393,3,24,24,24,24,24,0,24,24,1,0,89,0,0,,,
AL001,2008-01-04T00:00:00,17.16,9.292084,4.09,90,69.75251,33.41,9.435114,0.1,1,24.48,1.567167,0,818,273,201,148,1,24,24,24,24,24,0,24,24,1,0,657,0,0,,,
AL001,2008-01-05T00:00:00,15.78,8.794623,3.37,90.7,76.95,48.2,9.594982,0,0,16.97,2.205375,0,801,150,373,116,1,24,24,24,24,24,0,24,24,1,0,629,0,0,,,
AL001,2008-01-06T00:00:00,18.27,11.20375,5.09,95.5,81.12917,61.1,10.12478,0,0,15.99,2.338292,0,677,187,465,111,1,24,24,24,24,24,0,24,24,1,0,558,0,0,,,
AL001,2008-01-07T00:00:00,19.51,11.85083,5.99,96.2,86.63334,57.6,9.803556,0.2,2,12.08,2.026459,0,762,151,439,88,1,24,24,24,24,24,0,24,24,1,0,234,0,0,,,
AL001,2008-01-08T00:00:00,14.29,11.97792,8.18,95.9,88.37082,77.8,2.066947,0,0,10.77,1.626042,0,646,793,1,0,2,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2008-01-09T00:00:00,18.22,13.8475,11.36,92.5,82.28749,57.5,7.319124,0,0,13.38,1.653917,0,519,182,597,142,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2008-01-10T00:00:00,17.25,13.35167,10.1,93.9,84.56666,63,5.714619,0,0,11.1,1.120875,0,681,257,427,75,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2008-01-11T00:00:00,16,13.03958,9.58,94.2,84.82499,70.4,6.930148,0,0,31.66,6.826334,0,123,64,914,339,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2008-01-12T00:00:00,17.48,11.79542,6.42,93.3,62.19541,25.49,10.46498,0,0,13.71,2.200792,0,672,490,245,33,1,24,24,24,24,24,0,24,24,1,0,61,0,0,,,
AL001,2008-01-13T00:00:00,15.75,9.283084,2.857,91.8,77.53333,54.6,10.01735,0,0,37.54,5.35725,0,616,73,550,201,1,24,24,24,24,24,0,24,24,1,0,592,0,0,,,
AL001,2008-01-14T00:00:00,15.27,12.15792,6.53,92.9,85.15002,74.6,4.887468,0.2,2,28.4,6.075126,0,291,114,794,241,3,24,24,24,24,24,0,24,24,1,0,64,0,0,,,
AL001,2008-01-15T00:00:00,17.06,10.40542,5.4,93.7,74.9125,51.4,10.20563,0.1,1,22.85,3.335958,0,787,139,412,102,1,24,24,24,24,24,0,24,24,1,0,389,0,0,,,
AL001,2008-01-16T00:00:00,20.43,12.00292,6.23,90.3,72.23376,32.74,9.064814,0.8,2,37.21,6.040583,0,508,192,489,251,1,24,24,24,24,24,0,24,24,1,0,150,0,0,,,
AL001,2008-01-17T00:00:00,19.32,11.56333,5.08,82.4,63.7375,38.49,10.58984,0,0,15.01,2.227834,0,641,287,378,134,1,24,24,24,24,24,0,24,24,1,0,282,0,0,,,
AL001,2008-01-18T00:00:00,19.64,12.48375,6.7,82.9,66.39875,37.57,10.64825,0.1,1,17.3,2.123042,0,708,234,429,69,1,24,24,24,24,24,0,24,24,1,0,48,0,0,,,
AL001,2008-01-19T00:00:00,19.58,12.83292,8.14,81.1,67.56249,44.4,10.72743,0,0,19.26,3.384042,0,914,513,4,9,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2008-01-20T00:00:00,20.09,12.61833,7.25,85.4,71.09999,45,10.90169,0,0,17.95,3.141667,0,908,469,0,63,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2008-01-21T00:00:00,18.7,12.06,7.32,90.3,72.45834,44.8,11.02364,0,0,17.3,2.815792,0,856,14,470,100,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2008-01-22T00:00:00,19.14,12.91583,8.79,96.2,87.90415,59.1,9.428911,0.1,1,15.99,2.194792,0,565,78,554,243,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2008-01-23T00:00:00,18.48,11.79417,5.35,96,79.37501,45.3,11.03737,0.2,2,26.44,4.979625,0,669,689,42,40,2,24,24,24,24,24,0,24,24,1,0,191,0,0,,,
AL001,2008-01-24T00:00:00,17.81,10.73625,5.71,91.6,77.53749,49.7,10.20439,0,0,10.77,1.057375,0,974,421,35,10,1,24,24,24,24,24,0,24,24,1,0,231,0,0,,,
AL001,2008-01-25T00:00:00,17.12,11.59667,6.4,91.5,74.07083,58.7,9.477635,0,0,31.66,6.599709,0,824,605,3,8,1,24,24,24,24,24,0,24,24,1,0,71,0,0,,,
AL001,2008-01-26T00:00:00,16.09,11.73,7.58,90.4,70.00832,57.2,6.457283,0,0,21.54,6.423833,0,1024,412,1,3,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2008-01-27T00:00:00,16.16,10.57708,5.1,93.7,73.35417,49.2,8.359307,0,0,18.93,3.360667,0,920,515,3,2,1,24,24,24,24,24,0,24,24,1,0,386,0,0,,,
AL001,2008-01-28T00:00:00,16.59,10.48792,5.67,91.1,76.83334,47.8,11.34853,0,0,14.04,2.07725,0,787,628,12,13,1,24,24,24,24,24,0,24,24,1,0,350,0,0,,,
AL001,2008-01-29T00:00:00,17.72,9.915832,4.8,90.5,77.57081,48.1,11.32178,0,0,16.32,2.131792,0,768,165,428,79,1,24,24,24,24,24,0,24,24,1,0,569,0,0,,,
AL001,2008-01-30T00:00:00,16.54,9.985957,3.651,92.6,83.6,62.9,11.51208,0.1,1,17.95,3.370625,0,675,111,594,60,1,24,24,24,24,24,0,24,24,1,0,562,0,0,,,
AL001,2008-01-31T00:00:00,9.11,7.577142,5.38,95.7,94.32856,92.2,0,0.1,1,7.51,0.7147143,0,355,65,0,0,1,7,7,7,7,7,0,7,7,0,0,113,0,0,,,
AL001,2008-02-01T00:00:00,15.36,10.86125,6.66,90.8,80.54585,63.2,10.6128,0,0,24.15,3.664,0,637,124,513,166,1,24,24,24,24,24,0,24,24,1,0,41,0,0,,,
AL001,2008-02-02T00:00:00,18.23,11.4625,5.99,92,72.25417,41.5,11.90948,0,0,13.06,1.543959,0,804,439,149,48,1,24,24,24,24,24,0,24,24,1,0,107,0,0,,,
AL001,2008-02-03T00:00:00,16.82,11.2575,6.02,89.3,77.55833,56,11.11457,0,0,21.22,3.190209,0,639,130,529,142,1,24,24,24,24,24,0,24,24,1,0,305,0,0,,,
AL001,2008-02-04T00:00:00,18.27,13.8875,9.05,86.3,76.21668,58.1,12.24857,0,0,27.74,7.379417,0,255,36,930,219,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2008-02-05T00:00:00,19.25,12.23708,5.93,90.8,70.8875,41,12.59621,0,0,14.04,1.771,0,798,388,204,50,1,24,24,24,24,24,0,24,24,1,0,122,0,0,,,
AL001,2008-02-06T00:00:00,19.45,12.12167,6.52,92,73.87502,40.1,13.03676,0.1,1,14.36,3.968917,0,676,743,15,6,2,24,24,24,24,24,0,24,24,1,0,102,0,0,,,
AL001,2008-02-07T00:00:00,18.56,13.43583,7.96,81.3,58.59209,35.36,13.10142,0,0,28.4,8.855958,0,578,850,3,9,2,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2008-02-08T00:00:00,17.98,14.05208,10.9,77.1,60.29583,48.3,13.43179,0,0,30.68,10.40125,0,783,640,5,12,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2008-02-09T00:00:00,17.25,12.98042,10.44,73,61.26334,37.09,13.32798,0,0,35.25,11.91125,0.979,871,553,5,11,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2008-02-10T00:00:00,16.13,12.05167,9.64,71.2,63,47.3,13.18055,0,0,35.9,11.76583,2.285,919,509,9,3,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2008-02-11T00:00:00,15.97,12.365,9.89,67.6,57.45833,45.6,13.42974,0,0,31.99,12.55542,1.306,950,479,6,5,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2008-02-12T00:00:00,16.22,12.67667,10.33,70,57.94833,39.26,11.57324,0,0,36.23,11.80292,1.306,947,479,7,7,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2008-02-13T00:00:00,15.53,12.35125,10.66,67.8,62.55417,53.8,8.049664,0,0,32.31,14.46,3.59,1329,105,1,5,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2008-02-14T00:00:00,16.9,13.955,12.2,79.5,65.32084,53.6,6.745104,1.1,11,33.29,15.96042,3.917,1266,154,1,19,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2008-02-15T00:00:00,19.29,14.94416,12.62,77.2,62.59583,41.7,13.02122,0.2,2,27.74,9.362959,0,790,639,7,4,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2008-02-16T00:00:00,16.49,12.40208,7.94,89,73.47916,54.6,12.30028,0,0,28.72,8.167042,0,592,837,11,0,2,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2008-02-17T00:00:00,14.9,12.75708,10.83,72,63.42916,57.5,6.191064,2.4,3,33.95,13.88958,3.59,1232,191,6,11,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2008-02-18T00:00:00,14.28,13.20583,11.62,91.6,78.15417,69,1.946855,0.1,1,26.44,2.966583,0,936,291,147,66,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2008-02-19T00:00:00,16,12.77917,10.49,94,88.18333,76.2,6.672153,2.5,25,15.99,2.331417,0,649,724,23,44,2,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2008-02-20T00:00:00,17.6,13.31625,7.85,95.4,86.54585,70.2,14.52615,0.1,1,20.89,3.805625,0,427,110,721,182,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2008-02-21T00:00:00,17.52,14.44125,12.54,86.5,75.92917,61.9,9.555239,0,0,30.03,8.218291,0,575,859,4,2,2,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2008-02-22T00:00:00,16.04,13.445,11.26,72.6,66.70418,56.7,6.235966,0,0,27.09,10.4825,0.326,954,473,5,8,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2008-02-23T00:00:00,17.29,14.10791,11.92,88.9,68.37499,56.3,10.80573,3.4,34,29.7,10.75292,1.632,899,523,4,14,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2008-02-24T00:00:00,17.5,13.45208,11.24,91.2,82.37083,68.6,8.303436,6,59,17.95,5.551,0,762,671,6,1,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2008-02-25T00:00:00,18.44,13.8,10.08,88.9,79.97916,63.6,8.17326,0.3,3,20.24,4.926084,0,333,1005,69,33,2,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2008-02-26T00:00:00,19.76,14.46625,9.49,93.8,80.20002,59.5,14.58518,0,0,14.69,2.853667,0,486,797,101,56,2,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2008-02-27T00:00:00,18.55,14.23208,11.81,95.5,86.02084,68.6,15.03763,0,0,16.97,3.946625,0,445,48,733,214,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2008-02-28T00:00:00,17.55,14.06,11.17,92.8,84.35001,68.1,8.632556,0,0,17.63,3.566916,0,376,62,736,266,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2008-02-29T00:00:00,20.58,13.48292,8.67,93.3,82.92916,51.6,10.66951,0.1,1,17.3,2.141709,0,824,125,376,115,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2008-03-01T00:00:00,18.49,13.61875,9.57,96.1,84.85417,62.9,14.95777,0.4,3,19.91,3.45325,0,615,165,556,104,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2008-03-02T00:00:00,21.95,14.61792,8.52,96.2,73.85416,40.7,16.15918,0.1,1,13.38,1.752583,0,658,185,441,156,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2008-03-03T00:00:00,22.82,14.39583,7.06,81.7,61.31624,30.99,17.59673,0,0,22.52,4.011125,0,707,66,597,70,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2008-03-04T00:00:00,19.06,15.195,11.62,83.6,61.36208,21.74,14.04554,0,0,24.48,4.928667,0,546,877,12,5,2,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2008-03-05T00:00:00,16.82,11.76458,6.98,43.8,19.75833,10.91,17.42792,0,0,35.9,8.68354,0,931,238,60,211,1,24,24,24,24,24,0,24,24,1,0,2,0,0,,,
AL001,2008-03-06T00:00:00,13.67,9.093333,4.45,65.7,33.91417,13.41,17.61325,0,0,22.85,5.838542,0,291,380,560,209,3,24,24,24,24,24,0,24,24,1,0,403,0,0,,,
AL001,2008-03-07T00:00:00,18.6,12.62833,5.96,79.6,61.08126,30.13,17.80726,0,0,28.72,6.047876,0,232,67,829,312,3,24,24,24,24,24,0,24,24,1,0,34,0,0,,,
AL001,2008-03-08T00:00:00,21.3,13.69,6.74,86.7,49.98416,20.39,17.96515,0,0,18.6,2.488208,0,651,513,193,83,1,24,24,24,24,24,0,24,24,1,0,32,0,0,,,
AL001,2008-03-09T00:00:00,18.03,12.31125,6.01,88.4,72.53333,47,18.05794,0,0,24.15,4.128584,0,604,229,514,93,1,24,24,24,24,24,0,24,24,1,0,242,0,0,,,
AL001,2008-03-10T00:00:00,17.89,12.85458,7.38,77,63.8125,47.6,8.072999,0.2,2,18.28,4.444958,0,464,99,755,122,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2008-03-11T00:00:00,24.31,17.01125,10.73,87.2,58.87918,30.7,18.84519,0,0,24.81,4.295458,0,474,321,534,111,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2008-03-12T00:00:00,23.11,16.43416,9.86,91.1,65.4875,41.9,19.49371,0,0,21.54,4.523042,0,515,132,680,113,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2008-03-13T00:00:00,23.83,16.76625,10.33,84.9,60.67707,33.96,17.38905,0,0,15.01,3.734958,0,749,662,15,14,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2008-03-14T00:00:00,24.94,16.425,10.47,85.3,62.66833,28.94,19.21556,0,0,15.34,3.212459,0,784,348,274,34,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
