COD_EST,FECHA,T_MAX,T_MED,T_MIN,H_R_MAX,H_R_MED,H_R_MIN,RADIACION,LLUVIA,LLUVIA_MIN,V_MAX,V_MED,V_MIN,CV1,CV2,CV3,CV4,DIRECCION,HORAS,H_T,H_HR,H_R,H_LL,H_TS,H_V,H_D,CALCULOS,MTMEN0,MTMEN7,MTMA30,MVMA50,T_S_MAX,T_S_MED,T_S_MIN
AL001,2013-01-01T00:00:00,16.62,9.841502,5.443,97.6,77.41417,49.05,8.328196,0,0,15.3,2.395542,0,804,184,348,62,1,24,24,24,24,24,0,24,24,1,0,543,0,0,,,
AL001,2013-01-02T00:00:00,16.32,9.944292,5.111,84.9,69.44585,38.43,9.502394,0,0,17.55,2.444083,0,518,184,450,277,1,24,24,24,24,24,0,24,24,1,0,472,0,0,,,
AL001,2013-01-03T00:00:00,15.21,11.06954,6.725,81.2,59.84917,46.53,7.383885,0,0,21.6,6.066584,0,1027,387,0,8,1,24,24,24,24,24,0,24,24,1,0,34,0,0,,,
AL001,2013-01-04T00:00:00,16.72,11.23492,5.645,94.2,68.5779,55.63,8.663194,0,0,14.85,3.512125,0,782,584,50,20,1,24,24,24,24,24,0,24,24,1,0,97,0,0,,,
AL001,2013-01-05T00:00:00,16.25,8.433958,1.884,99.1,86.88625,63.07,11.04932,0,0,20.25,3.722208,0,587,28,519,302,1,24,24,24,24,24,0,24,24,1,0,705,0,0,,,
AL001,2013-01-06T00:00:00,17.57,9.277501,2.478,100,87.22418,54.48,11.25804,0.2,0,16.2,2.296542,0,664,124,525,40,1,24,24,24,24,24,0,24,24,1,0,691,0,0,,,
AL001,2013-01-07T00:00:00,16.49,8.489874,2.153,97.6,83.7446,59.39,11.17995,0.2,0,19.8,3.031375,0,637,0,478,276,1,24,24,24,24,24,0,24,24,1,0,734,0,0,,,
AL001,2013-01-08T00:00:00,16.59,8.679749,1.716,97.2,83.19791,49.48,11.25355,0,0,16.65,2.657125,0,686,1,450,293,1,24,24,24,24,24,0,24,24,1,0,640,0,0,,,
AL001,2013-01-09T00:00:00,15.95,8.575126,1.918,97.9,81.53375,51.89,10.51674,0,0,23.85,3.575126,0,576,84,466,211,1,24,24,24,24,24,0,24,24,1,0,611,0,0,,,
AL001,2013-01-10T00:00:00,18.97,10.92484,4.437,98,82.02917,56.84,10.37053,0,0,13.5,2.482417,0,734,144,358,115,1,24,24,24,24,24,0,24,24,1,0,465,0,0,,,
AL001,2013-01-11T00:00:00,18.51,11.28408,6.32,96.8,79.77666,46.44,10.52479,0,0,12.6,2.267375,0,932,54,351,82,1,24,24,24,24,24,0,24,24,1,0,278,0,0,,,
AL001,2013-01-12T00:00:00,17.47,10.79421,4.639,96.7,82.16167,47.54,11.08431,0,0,20.7,3.226916,0,798,101,447,84,1,24,24,24,24,24,0,24,24,1,0,215,0,0,,,
AL001,2013-01-13T00:00:00,17.5,10.462,3.998,99.7,60.56667,23.08,8.492177,0.2,0,20.7,3.471958,0,485,214,257,461,1,24,24,24,24,24,0,24,24,1,0,504,0,0,,,
AL001,2013-01-14T00:00:00,17.23,11.22771,5.78,63.82,44.10916,18.34,11.69073,0,0,23.4,4.278833,0,445,106,545,324,3,24,24,24,24,24,0,24,24,1,0,65,0,0,,,
AL001,2013-01-15T00:00:00,15.75,9.363166,3.323,77.07,60.39708,41.54,11.1388,0,0,19.8,3.712501,0,661,181,447,43,1,24,24,24,24,24,0,24,24,1,0,534,0,0,,,
AL001,2013-01-16T00:00:00,16.56,11.3425,7.299,73.8,59.16292,35.72,1.996751,0,0,26.55,4.242209,0,502,181,413,218,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2013-01-17T00:00:00,21.84,15.71292,10.7,74.09,50.08542,22.2,8.992372,0,0,32.4,7.436625,0,355,214,480,309,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2013-01-18T00:00:00,20.55,16.525,13.43,88.3,67.53542,38.28,9.117857,0,0,29.7,10.34721,0,71,8,1016,301,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
