cod_est,FECHA,T_Max,T_Med,T_Min,H_R_Max,H_R_Med,H_R_Min,Radiacion,Lluvia,V_Max,V_Med,V_Min,CV1,CV2,CV3,CV4,Direccion
AL001,2016-01-01T00:00:00,16.91,12.8695833333333,8.04,100,93.11625,79.44,0.22722105,0.2,19.8,4.79545833333333,0,347,339,726,17,3
AL001,2016-01-02T00:00:00,19.3,14.0675,9.93,97.2,86.3616666666667,70.04,0.3762165,0,28.35,4.77725,0,425,55,771,176,4
AL001,2016-01-03T00:00:00,19.37,14.3554166666667,10.24,95.5,85.6175,65.36,0.27093615,0,32.85,5.009125,0,173,376,859,19,3
AL001,2016-01-04T00:00:00,18.74,16.2779166666667,13.48,92.8,83.955,73.32,0.32426445,0,42.75,14.7771666666667,0,40,1,1273,106,3
AL001,2016-01-05T00:00:00,20.58,15.5720833333333,11.59,96.4,63.1154166666667,25.32,0.3200727,0.8,31.95,10.3908333333333,0,59,63,1071,225,4
AL001,2016-01-06T00:00:00,18.07,12.83375,8.95,65.89,40.4216666666667,23.46,0.3481959,0,34.2,7.95258333333333,0,218,101,741,358,4
AL001,2016-01-07T00:00:00,17.76,12.086,6.148,97.3,78.3829166666667,62.77,0.43550655,0,18,3.94766666666667,0,329,216,829,55,3
AL001,2016-01-08T00:00:00,18.27,12.538375,6.514,97.7,81.85,55.87,0.44497935,0,29.25,6.378,0,293,159,896,80,3
AL001,2016-01-09T00:00:00,18.01,15.1383333333333,10.66,93.1,80.4304166666667,67.87,0.3176724,0,37.8,9.36970833333333,0,40,34,1293,53,3
AL001,2016-01-10T00:00:00,17.24,13.2630833333333,5.002,81.2,67.8666666666667,53.86,0.3211785,0,36,9.20091666666667,0,20,35,1221,140,4
AL001,2016-01-11T00:00:00,18.13,15.4441666666667,12.99,94.1,77.7591666666667,57.04,0.3485544,0,50.4,14.790875,0,0,5,1301,116,3
AL001,2016-01-12T00:00:00,18.17,12.4283333333333,8.06,97.5,78.2666666666667,47.33,0.4453626,0,13.5,2.54045833333333,0,809,540,87,0,3
AL001,2016-01-13T00:00:00,17.02,10.5375833333333,6.15,87.6,67.7320833333333,35.27,0.4281759,0,15.75,3.20645833333333,0,1056,383,0,0,2
AL001,2016-01-14T00:00:00,16.05,10.410125,3.523,94.3,81.7154166666667,53.05,0.3605538,0,25.65,4.61183333333333,0,419,208,794,10,3
AL001,2016-01-15T00:00:00,17.02,12.5725833333333,6.784,94.3,83.49375,56.3,0.2264379,0.6,18.9,3.10995833333333,0,657,753,27,0,2
AL001,2016-01-16T00:00:00,16.86,9.102,3.151,91.1,51.0229166666667,18.16,0.48303705,0,26.1,4.14875,0,951,260,168,50,3
AL001,2016-01-17T00:00:00,14.07,7.57129166666667,1.737,83.2,63.90125,43.5,0.4038507,0,15.3,3.01358333333333,0,734,172,522,8,3
AL001,2016-01-18T00:00:00,17.53,10.6804166666667,4.4,87.3,74.6225,50.92,0.47263995,0,18,3.93191666666667,0,409,168,831,25,3
AL001,2016-01-19T00:00:00,16.68,11.5860416666667,5.238,80.3,63.0425,42.9,0.38157345,0,20.25,2.94141666666667,0,392,394,574,74,4
AL001,2016-01-20T00:00:00,15.15,10.6431666666667,5.609,96.9,85.2054166666667,71.54,0.2494827,0.8,22.95,4.620875,0,541,201,641,48,4
AL001,2016-01-21T00:00:00,16.72,11.055625,5.88,96.8,77.4441666666667,58.55,0.3942978,0,20.25,3.54370833333333,0,638,202,592,1,3
AL001,2016-01-22T00:00:00,19.28,12.0200833333333,6.315,93,80.2591666666667,59.29,0.4214859,0,12.15,2.85654166666667,0,794,217,421,1,3
AL001,2016-01-23T00:00:00,19.38,12.89,7.862,99.1,77.8033333333334,55.57,0.42434805,0.2,17.1,4.43591666666667,0,936,504,0,0,2
AL001,2016-01-24T00:00:00,19.15,12.6820833333333,7.761,91.8,73.3716666666667,48.09,0.4443282,0,18.45,5.06625,0,809,632,0,0,2
AL001,2016-01-25T00:00:00,18.1,12.3883333333333,7.628,91.8,81.51625,65.02,0.44373405,0,15.3,2.83054166666667,0,729,244,451,11,3
AL001,2016-01-26T00:00:00,16.46,12.40875,9.41,93.3,84.90625,65.88,0.27052545,0,13.95,2.2965,0,304,591,529,12,3
AL001,2016-01-27T00:00:00,17.32,11.525375,6.752,95.3,83.7470833333333,62.13,0.34062225,0,13.05,2.10520833333333,0,655,691,92,0,3
AL001,2016-01-28T00:00:00,17.49,11.40375,5.744,94.3,78.2875,54.2,0.4408488,0,16.2,3.23745833333333,0,649,49,733,2,3
AL001,2016-01-29T00:00:00,16.16,12.4825,9.24,89.4,79.80375,67.65,0.21165555,0,18.9,4.128125,0,816,498,125,0,3
AL001,2016-01-30T00:00:00,19.08,13.6216666666667,8.77,93.8,77.51,48.27,0.47211915,5,20.25,5.600125,0,741,155,514,19,3
AL001,2016-01-31T00:00:00,17.36,10.9612083333333,4.263,97.1,85.1341666666666,61.52,0.4962921,0,20.25,3.403875,0,587,181,668,0,3
