cod_est,FECHA,T_Max,T_Med,T_Min,H_R_Max,H_R_Med,H_R_Min,PromedioDeRadiacion,SumaDeLluvia,V_Max,V_Med,V_Min,SumaDeCV1,SumaDeCV2,SumaDeCV3,SumaDeCV4,PromedioDeDireccion
AL001,2018-01-01T00:00:00,19.79,13.7772916666667,6.58,95.5,60.4479166666667,34.9,0.39837735,0,22.05,4.61541666666667,0,641,83,660,54,1.95833333333333
AL001,2018-01-02T00:00:00,22.94,12.5219166666667,6.884,95.7,73.805,39.27,0.39939645,0,15.75,2.81366666666667,0,820,99,497,20,1.70833333333333
AL001,2018-01-03T00:00:00,20.22,12.792875,7.349,99.5,78.8720833333333,53.54,0.3915642,0,20.7,3.569625,0,696,69,675,0,1.95833333333333
AL001,2018-01-04T00:00:00,19.82,12.5594583333333,6.842,100,91.7545833333333,65.57,0.40113405,0.2,19.35,3.87883333333333,0,490,241,707,1,2.16666666666667
AL001,2018-01-05T00:00:00,18.37,13.76875,10.68,100,89.47875,64.32,0.39135885,0.2,20.7,4.10883333333333,0,612,154,667,6,2.04166666666667
AL001,2018-01-06T00:00:00,15.94,11.4141666666667,7.991,96.9,81.86625,41.69,0.18124065,0.3,38.25,5.94058333333333,0,326,125,953,32,2.5
AL001,2018-01-07T00:00:00,12.97,8.85470833333333,3.644,78.13,58.235,36.88,0.31204155,0,25.65,5.07433333333333,0,406,5,943,81,2.58333333333333
AL001,2018-01-08T00:00:00,15.17,8.91691666666666,4.215,86.6,70.9945833333333,49.18,0.35475345,0,15.3,2.60045833333333,0,525,121,791,0,2.16666666666667
AL001,2018-01-09T00:00:00,14.36,9.03333333333333,2.908,90,73.5008333333333,51.45,0.33658185,0,22.5,3.96341666666667,0,601,60,760,17,2.08333333333333
AL001,2018-01-10T00:00:00,19.96,13.2720833333333,9.71,96.1,84.4191666666667,55.74,0.40979775,1.9,26.55,6.29791666666667,0,41,48,1243,92,2.91666666666667
AL001,2018-01-11T00:00:00,19.39,14.9933333333333,7.788,90,37.0620833333333,22.85,0.43987875,0,25.2,6.48425,0,387,78,579,384,2.625
AL001,2018-01-12T00:00:00,16.21,9.98733333333333,3.584,82,57.31,31.74,0.43334655,0,23.4,3.86804166666667,0,677,45,703,11,1.91666666666667
AL001,2018-01-13T00:00:00,14.73,8.84554166666667,3.481,90.8,80.1758333333333,61.21,0.2822874,0,22.95,3.915875,0,793,1,634,11,1.91666666666667
AL001,2018-01-14T00:00:00,16.31,9.099,3.243,94.3,78.7595833333333,55.27,0.22582965,0.2,17.55,2.89954166666667,0,720,124,584,12,1.875
AL001,2018-01-15T00:00:00,16.75,9.28358333333333,3.579,96.2,73.8029166666667,41.86,0.4282542,0,19.35,2.89233333333333,0,871,553,13,0,1.375
AL001,2018-01-16T00:00:00,15.98,8.63241666666666,1.291,96.1,81.3208333333333,55.81,0.4482186,0,23.4,4.54233333333333,0,594,14,822,10,2.16666666666667
AL001,2018-01-17T00:00:00,20.08,10.4839166666667,3.21,97.4,82.5033333333333,57.19,0.4488684,0,16.2,1.78791666666667,0,429,127,878,5,2.33333333333333
AL001,2018-01-18T00:00:00,19.52,14.6758333333333,10.62,79.01,63.4975,34.12,0.36384225,0,32.85,9.33820833333334,0,939,412,79,7,1.25
AL001,2018-01-19T00:00:00,16.25,13.0918333333333,7.18,97,82.2479166666667,61.8,0.1856853,0.6,18.45,2.48941666666667,0,350,239,839,11,2.29166666666667
AL001,2018-01-20T00:00:00,19.58,11.411375,4.351,100,84.3733333333333,45.29,0.44126535,0.1,18.9,3.53825,0,764,51,562,62,1.91666666666667
AL001,2018-01-21T00:00:00,22.44,13.2042916666667,6.175,100,63.5995833333333,27.55,0.46363875,0.1,20.7,2.585,0,671,187,576,7,2
AL001,2018-01-22T00:00:00,20.94,13.4274583333333,6.951,99.6,73.7220833333333,44.84,0.47065095,0,18.9,3.74254166666667,0,474,144,776,43,2.29166666666667
AL001,2018-01-23T00:00:00,23.35,14.0433333333333,6.139,100,75.9945833333333,35.3,0.469572,0.3,11.7,1.94020833333333,0,951,287,122,82,1.5
AL001,2018-01-24T00:00:00,21.56,13.1998333333333,7.154,96.2,76.3170833333333,52.68,0.472422,0,9.45,1.72441666666667,0,807,567,65,0,1.5
AL001,2018-01-25T00:00:00,16.31,13.5720833333333,11.22,98.1,85.75625,72.97,0.2950296,0,29.7,7.27458333333333,0,0,155,1211,74,2.91666666666667
AL001,2018-01-26T00:00:00,16.41,13.0966666666667,8.43,91,43.4433333333333,26.32,0.28532205,0,24.3,5.172125,0,334,104,563,427,2.875
AL001,2018-01-27T00:00:00,16.99,11.9099166666667,6.946,56.03,41.88375,28.53,0.42183315,0,29.7,5.37916666666667,0,688,383,267,99,1.79166666666667
AL001,2018-01-28T00:00:00,15.37,11.4058333333333,7.855,80.8,71.0366666666667,52.77,0.3097053,3,35.1,12.960375,0.45,862,339,125,33,1.375
AL001,2018-01-29T00:00:00,18.17,14.4345833333333,12.46,76.39,67.5970833333333,51.44,0.4387149,0,33.3,14.0594583333333,0,1106,235,77,20,1.20833333333333
AL001,2018-01-30T00:00:00,16.58,13.5195833333333,11.32,80.9,70.2195833333333,60.75,0.29295405,0,31.05,11.224625,0.9,1225,184,14,10,1
